title;published_date;author;description;price;weeks_on_list
A LAWMAN’S CHRISTMAS;2012-11-18;Linda Lael Miller;"After entering a marriage of convenience with the newly widowed Dara Rose Nolan, Clay McKettrick longs to make her his permanent wife | includes a bonus story, ""Daring Moves.""";7.99;2
A LEGACY OF SPIES;2017-09-24;John le Carré;Peter Guillam, formerly of the British Secret Service, is pulled out of retirement to defend intelligence operations during the cold war that resulted in the deaths of people close to him.;nan;2
A LIFE IN PARTS;2016-11-06;Bryan Cranston;The actor discusses his relationships and career.;nan;0
A LIFE WELL PLAYED;2016-11-06;Arnold Palmer;nan;nan;0
A LITTLE LIFE;2016-02-14;Hanya Yanagihara;Four college friends, one with a traumatic past, move to New York in search of fame and fortune.;nan;1
A LITTLE THING CALLED LIFE;2016-09-11;Linda Thompson;The songwriter recounts her relationships with Elvis Presley and Bruce Jenner.;nan;1
A LONG WALK TO WATER;2013-07-28;Linda Sue Park;Two Sudanese youths struggle for survival.;nan;75
A LONG WAY GONE;2014-09-14;Ishmael Beah;A former child soldier's killing spree and return to humanity.;nan;94
A LOVE LETTER LIFE;2019-04-21;Jeremy and Audrey Roloff;nan;nan;1
A MAN CALLED INTREPID;2016-03-20;William Stevenson;The story of the World War II British spymaster who became Churchill’s secret intelligence ambassador to Roosevelt.;nan;3
A MAN CALLED OVE;2016-04-17;Fredrik Backman;An angry old curmudgeon gets new next-door neighbors, and things are about to change for all of them.;nan;74
A MATCH FOR MARCUS CYNSTER;2015-06-14;Stephanie Laurens;Marcus Cynster knows his destiny lies near his home in Scotland. Will he share it with his elusive neighbor Niniver Carrick?;nan;1
A MEMORY OF LIGHT;2013-01-27;Robert Jordan and Brandon Sanderson;The 14th and final novel in the Wheel of Time fantasy series.;34.99;7
A MINUTE TO MIDNIGHT;2019-12-01;David Baldacci;When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer. Read by Brittany Pressley and Kyf Brewer. 12 hours, 11 minutes unabridged.;nan;4
A MONSTER CALLS;2016-09-04;Patrick Ness;nan;nan;23
A MORE PERFECT UNION;2015-10-25;Ben Carson with Candy Carson;A discussion of the Constitution by the candidate for the Republican presidential nomination.;nan;5
A MOTHER'S RECKONING;2016-03-06;Sue Klebold;The mother of one of the Columbine shooters wrestles with her grief and guilt and discusses how parents can become more aware of the signs of mental illness in teenagers.;nan;2
A NEW HOPE;2015-07-19;Ron Carr;After a man makes a spectacle of himself at his sister's wedding, will he be able to make amends?;nan;2
A NICE LITTLE PLACE ON THE NORTH SIDE;2014-04-06;George Will;nan;nan;0
A NIGHT LIKE THIS;2012-06-17;Julia Quinn;Anne Wynter might not be who she says she is, but she’s managing quite well as a governess to three highborn young ladies — until she attracts the attention of a dashing earl.;7.99;1
A NIGHT TO REMEMBER;2012-04-29;Walter Lord;This reissue of Lord’s classic 1955 you-are-there account of the Titanic’s sinking includes an introduction by Nathaniel Philbrick.;nan;1
A PASSION FOR LEADERSHIP;2016-02-07;Robert M Gates;nan;nan;0
A PATRIOT'S HISTORY OF THE UNITED STATES;2010-03-21;Larry Schweikart and Michael Allen;"America as a ""city on a hill.""";21.95;7
A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT;2010-02-14;Howard Zinn;An account from the point of view of women, African-Americans and others who are often marginalized.;18.95;2
A PERFECT BLOOD;2012-03-11;Kim Harrison;With ritually murdered corpses appearing across Cincinnati, the witch turned day-walking demon Rachel Morgan makes a chilling discovery: a group is trying to create its own demons.;26.99;1
A PERFECT LIFE;2014-08-10;Danielle Steel;A successful TV anchor faces a young rival at work just as the long-kept secrets of her private life are exposed.;nan;4
A PIGLET NAMED MERCY;2019-04-21;Kate DiCamillo;The Watson family finds a piglet.;nan;1
A PLACE OF YES;2011-04-10;Bethenny Frankel;The star of her own Bravo show offers 10 rules for getting everything you want out of life.;24.99;5
A POLAROID GUY IN A SNAPCHAT WORLD;2018-08-05;David Spade;A memoir by the star of “Tommy Boy” and former cast member of “Saturday Night Live.” 6 hours, 12 minutes unabridged. Read by the author.;nan;0
A RELIABLE WIFE;2010-01-24;Robert Goolrick;Complications ensue when a wealthy Wisconsin widower in 1907 advertises for a wife.;14.95;14
A RISING THUNDER;2012-03-25;David Weber;Honor Harrington defends the Star Empire of Manticore in a new and terrible war.;26.0;1
A RIVER IN THE SKY;2010-04-25;Elizabeth Peters;In 1910, the Peabody-Emerson clan tries to head off a holy war in Palestine | an Amelia Peabody mystery.;25.99;1
A SERIES OF UNFORTUNATE EVENTS;2017-02-05;Lemony Snicket;The three Baudelaire siblings find misfortune everywhere they turn.;nan;143
A SHIVER OF LIGHT;2014-06-22;Laurell K Hamilton;In the ninth Meredith Gentry paranormal romance, Merry must save herself and her triplets from Taranis, King of Light and Illusion.;nan;1
A SHORT GUIDE TO A LONG LIFE;2014-02-02;David B Agus with Kristin Loberg;nan;nan;6
A SHORT HISTORY OF THE WORLD;2015-02-01;Christopher Lascelles;A concise overview, with 32 maps.;nan;0
A SICK DAY FOR AMOS McGEE;2011-01-30;Philip C Stead;After a zookeeper falls ill, his animals take care of him for a change.;16.99;34
A SILENT VOICE, VOL. 6;2016-05-08;Yoshitoki Oima;A deaf girl and the boy who bullied her in grade school cross paths again six years later.;nan;1
A SILENT VOICE, VOL. 7;2016-06-19;Yoshitoki Oima;In the final volume, Shoya reconciles with his friends and they complete their film project.;nan;1
A SIMPLE GOVERNMENT;2011-03-13;Mike Huckabee;The ex-governor of Arkansas and Fox News host applies life lessons to government and government lessons to life;26.95;2
A SPARK OF LIGHT;2018-10-21;Jodi Picoult;The lives of patients, doctors and activists intersect when a gunman holds them all hostage in a woman's health center in Mississippi.;nan;4
A SPOOL OF BLUE THREAD;2015-03-01;Anne Tyler;Four generations of a family are drawn to a house in the Baltimore suburbs.;nan;7
A SPY AMONG FRIENDS;2014-08-17;Ben Macintyre;An account of the British Cold War spy Kim Philby focuses on the two close friends whose trust he betrayed.;nan;1
A STEP OF FAITH;2013-05-26;Richard Paul Evans;In the fourth book of the “Walk” series, Alan faces new challenges on his walk to Key West.;nan;1
A STOLEN LIFE;2011-07-31;Jaycee Dugard;A woman describes being kidnapped at the age of 11 and held prisoner for 18 years by a convicted rapist and his wife.;24.99;44
A STORM OF SWORDS;2011-08-28;George RR Martin;"Wars continue to rage over the Iron Throne as alliances are made and broken | Book 3 of ""A Song of Ice and Fire.""";8.99;52
A TALE OF MAGIC...;2019-10-20;Chris Colfer;In a world where magic is outlawed and women are forbidden to read, Brystal Evergreen defies the odds.;nan;10
A THOUSAND DAYS IN TUSCANY;2013-07-28;Marlena De Blasi;An American chef and her Venetian husband move to a renovated stable in a small Tuscan village | includes recipes.;nan;1
A THOUSAND DAYS IN VENICE;2016-01-31;Marlena de Blasi;A memoir by a woman who falls in love with a city and a man. Originally published in 2013.;nan;1
A THREE DOG LIFE;2013-09-15;Abigail Thomas;How Thomas rebuilt her life after her husband suffered a devastating brain injury in a car accident. Originally published in 2006.;nan;2
A TORCH AGAINST THE NIGHT;2016-09-18;Sabaa Tahir;nan;nan;4
A TRAIN IN WINTER;2015-10-04;Caroline Moorehead;The fate of 230 Frenchwomen. members of the Resistance, sent to Auschwitz in 1943 | originally published in 2011.;nan;3
A TRICK OF THE LIGHT;2011-09-18;Louise Penny;Called to a case, Chief Inspector Armand Gamache of homicide encounters a world where nothing is as it seems.;25.99;1
A TURN IN THE ROAD;2011-05-15;Debbie Macomber;A middle-age woman takes a cross-country road trip with her daughter and former mother-in-law.;24.95;1
A VELOCITY OF BEING;2019-01-13;edited  Maria Popova and Claudia Bedrick;Culture makers and illustrators celebrate the joys of reading.;nan;1
A VISIT FROM THE GOON SQUAD;2011-05-08;Jennifer Egan;Time is the relentless “goon squad” in this rock ’n’ roll novel, which explores the tattered lives of a cynical record producer and the people who intersect his world.;14.95;15
A WALK IN THE WOODS;2015-06-07;Bill Bryson;Rediscovering America on the Appalachian Trail.;nan;100
A WANTED MAN;2012-09-30;Lee Child;A carload of people involved in a conspiracy pick up a disheveled hitchhiker, Child's vigilante hero Jack Reacher.;28.0;9
A WARNING;2019-12-01;Anonymous;A senior official in the Trump administration offers an assessment of the president and makes a moral appeal. Read by Robert Fass. 8 hours, 57 minutes unabridged.;nan;3
A WEEK IN WINTER;2013-03-03;Maeve Binchy;Guests at an inn by the sea on Ireland’s west coast.;26.95;6
A WILL AND A WAY;2014-11-30;Nora Roberts;A matchmaking uncle leaves much of his estate to two distantly related cousins.;nan;1
A WOLF CALLED ROMEO;2015-04-05;Nick Jans;A wild wolf bonds with the dogs and people of Juneau, Alaska, in mutually unexpected and trusting daily interactions.;nan;0
A WOLF CALLED WANDER;2019-08-11;Rosanne Parry;A young wolf named Swift embarks on a perilous journey.;nan;15
A WORLD UNDONE;2015-09-20;G J Meyer;A history of World War I.;nan;1
A WORLD WITHOUT HEROES;2011-04-03;Brandon Mull;A young boy is transported to a world ruled by an evil wizard.;19.99;7
A YEAR IN THE LIFE OF DOWNTON ABBEY;2014-12-07;Jessica Fellowes;"How to entertain in the grand style of the fictional English estate: from the ""sporting season"" to debutante and holiday balls and continental travel.";nan;0
