title;published_date;author;description;price;weeks_on_list
PENNY ARCADE, VOL. 7;2011-07-24;Jerry Holkins and Mike Krahulik;This collected edition of the web comic contains the strips from 2006 and commentary from the creators.;15.0;1
PERCY JACKSON & KANE CHRONICLES CROSSOVER;2015-05-31;Rick Riordan;Ancient gods are unleashed, but the Kanes have power, too.;nan;1
PERCY JACKSON & THE OLYMPIANS;2010-01-03;Rick Riordan;Battling mythological monsters.;nan;517
PERCY JACKSON & THE OLYMPIANS: THE SEA OF MONSTERS;2013-07-21;Robert Venditti and Attila Futaki;"The work of Rick Riordan is again adapted into the graphic novel format in this follow up to ""The Lightning Thief.""";nan;1
PERCY JACKSON & THE OLYMPIANS: THE TITAN'S CURSE;2013-10-27;Rick Riordan, Robert Venditti and Attila Futaki;In this graphic novel adaptation of the popular children's series, Percy and his friends go on a rescue mission to save the goddess Artemis.;nan;1
PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE);2010-02-07;Mary-Jane Knight Designed  Philip Chidlow;Gods, beasts and tips for children with one immortal parent, based on the series by Rick Riordan.;12.99;11
PERCY JACKSON'S GREEK GODS;2014-09-07;Rick Riordan;The title hero offers a personal tour of the pantheon.;nan;26
PERCY JACKSON'S GREEK HEROES;2015-09-06;Rick Riordan;"A ""Percy Jackson & the Olympians"" companion guide.";nan;4
PERFECT;2011-10-02;Ellen Hopkins;Four teenagers’ ideas of perfection are as different as the paths they take to achieve it.;18.99;1
PERMANENT RECORD;2019-10-06;Edward Snowden;A memoir by the former National Security Agency contractor who exposed the government’s mass surveillance program. Read by Holter Graham. 11 hours, 31 minutes unabridged.;nan;1
PERSEPOLIS;2013-02-03;Marjane Satrapi;This graphic-novel memoir chronicles the author’s life in Iran during its 1979 revolution and its war with Iraq.;13.95;78
PERSONAL;2014-09-21;Lee Child;Jack Reacher, a former military cop, helps the State Department and the C.I.A. stop a sniper who has targeted a G8 summit. ;nan;9
PETE THE CAT AND HIS FOUR GROOVY BUTTONS;2012-05-20;Eric Litwin;Pete is wearing his favorite shirt.;16.99;39
PETE THE CAT AND HIS MAGIC SUNGLASSES;2013-10-20;Kimberly and James Dean;Seeing things in a new way.;nan;5
PETE THE CAT AND THE MISSING CUPCAKES;2016-10-23;Kimberly Dean and James Dean;Pete and his cohort look for some sweets gone lost.;nan;5
PETE THE CAT AND THE NEW GUY;2014-08-24;Kimberly Dean and James Dean;Pete and his new friend, Gus the platypus, search for an activity they can do together.;nan;2
PETE THE CAT SAVES CHRISTMAS;2012-10-14;Eric Litwin;A classic gets a spin, “’Twas the day before Christmas,” with Pete.;17.99;20
PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;2018-11-25;Kimberly and James Dean;"Pete's spin on the holiday classic ""The Twelve Days of Christmas.""";nan;12
PETE THE CAT'S GROOVY GUIDE TO LIFE;2015-04-26;James Dean and Kimberly Dean;A blue cat weighs in on adages and inspirational insights.;nan;5
PETE THE CAT'S GROOVY GUIDE TO LOVE;2016-02-28;Kimberly and James Dean;Pete shares his favorite amorous quotations.;nan;2
PETE THE CAT: BIG EASTER ADVENTURE;2017-04-02;James Dean and Kimberly Dean;A certain rabbit needs Pete's help.;nan;16
PETE THE CAT: FIVE LITTLE PUMPKINS;2015-09-27;James Dean;Pete takes on a favorite children’s song.;nan;35
PETE THE CAT: I LOVE MY WHITE SHOES;2011-08-21;Eric Litwin;Well-shod Pete has rainbows on his feet.;16.99;107
PETE THE CAT: ROCKING IN MY SCHOOL SHOES;2011-08-14;Eric Litwin;Pete discovers the library, the lunchroom and other cool places.;16.99;28
PETE THE CAT: THE WHEELS ON THE BUS;2013-07-14;James Dean;Grooving around town with Pete and his friends.;nan;10
PETE THE CAT: VALENTINE'S DAY IS COOL;2017-02-26;James Dean and Kimberly Dean;Pete's back passing out the valentines, but what happens when someone is overlooked?;nan;12
PHILOMENA;2014-03-16;Martin Sixsmith;Fifty years after nuns sent her baby to America to be adopted, an Irish woman attempts to track him down with a journalist’s help. The basis of the movie.;nan;2
PHOENIX WRIGHT, ACE ATTORNEY, VOL. 4;2012-04-08;Kenji Kuroda;This series, based on a video game, presents the legal adventures of Mr. Wright and his beautiful assistant Maya Fey.;10.99;1
PHOENIX WRIGHT: ACE ATTORNEY, VOL. 3;2012-01-15;Kenji Kuroda;This series, based on a video game, presents the legal adventures of Mr. Wright and his beautiful assistant Maya Fey.;10.99;1
PICNIC IN PROVENCE;2015-05-03;Elizabeth Bard;Inspired by a romantic jaunt, a young American couple with a newborn son creates a new life and a new culinary livelihood in a tiny French village.;nan;0
PIECES OF HER;2018-09-09;Karin Slaughter;When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.;nan;1
PILGRIM'S WILDERNESS;2015-02-01;Tom Kizzia;The scion of a wealthy Texas family, now claiming to be the Christian patriarch of a family with 13 children, moves to a remote Alaska town and begins fighting with the government | a journalist's account.;nan;0
PINHEADS AND PATRIOTS;2010-10-03;Bill O'Reilly;The Fox News commentator scrutinizes the meaning of change in the era of Obama.;27.99;6
PINKALICIOUS;2011-07-31;Victoria Kann and Elizabeth Kann;Pinkalicious loves pink cupcakes, maybe too much.;17.99;9
PINKALICIOUS AND THE PINK DRINK;2010-06-13;Victoria Kann;The color pink meets lemonade in a series of experiments.;3.99;15
PINKALICIOUS AND THE PINK PUMPKIN;2011-10-16;Victoria Kann;In search of an extraordinary gourd.;6.99;9
PINKALICIOUS: TICKLED PINK;2010-08-15;Victoria Kann;Who''''s the funniest  of all?;3.99;1
PIONEER GIRL;2015-02-01;Laura Ingalls Wilder;he writer’s autobiography, the source of her Little House on the Prairie books, completed in 1930 and never published, is annotated by a biographer.;nan;3
PIRANHA;2015-06-14;Clive Cussler and Boyd Morrison;A man sets out to thwart an American weapons designer.;nan;1
PIRATE;2016-10-02;Clive Cussler and Robin Burcell;Sam and Remi Fargo pursue an ancient treasure.;nan;1
PIRATE HUNTERS;2015-07-05;Robert Kurson;The hunt for a 17th-century pirate ship.;nan;0
PIRATE LATITUDES;2010-01-10;Michael Crichton;In the 17th-century Caribbean, a British pirate attacks a Spanish galleon | this manuscript was found in Crichton’s files after his death in 2008.;27.99;5
PLANT A KISS;2012-02-26;Amy Krouse Rosenthal;See it bloom.;14.99;2
PLANTS VS. ZOMBIES: GARDEN WARFARE;2016-02-28;Paul Tobin and Jacob Chabot;Ill-behaved plants battle the undead for world dominance in this adaption of the popular video game.;nan;4
PLAY DEAD;2010-10-31;Harlan Coben;Tragedy befalls a young celebrity couple on their honeymoon | Coben’s first novel, originally published in 1990.;9.99;3
PLAYER'S HANDBOOK;2014-10-05;Wizards RPG Team;A reference for Dungeons & Dragons role players.;nan;0
PLAYERS FIRST;2014-05-04;John Calipari and Michael Sokolove;The head coach of the University of Kentucky’s men’s basketball team discusses the college game and his own career.;nan;1
PLAYING FOR KEEPS;2019-02-10;Jill Shalvis;The seventh book in the Heartbreaker Bay series. A tattoo artist and a mogul are forced to face their undeniable chemistry.;nan;1
PLAYING THE ODDS;2016-04-03;Nora Roberts;Serena conceals her privileged upbringing by taking a job as a blackjack dealer on a cruise ship | the first novel in the MacGregors series.;nan;1
PLAYING TO THE EDGE;2016-03-06;Michael V Hayden;A former C.I.A. director defends his policies.;nan;2
PLEASURE OF A DARK PRINCE;2010-03-07;Kresley Cole;A werewolf prince exploits the desires of the archer he is determined to protect | part of the Immortals After Dark series.;7.99;1
PLENTY MORE;2014-11-02;Yotam Ottolenghi;nan;nan;1
PLUM SPOOKY;2010-01-24;Janet Evanovich;The bounty hunter Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New Jersey’s Pine Barrens.;7.99;4
PLUNDER AND DECEIT;2015-08-23;Mark R Levin;The talk-radio host urges young Americans to resist the statist masterminds who he says are burdening them with debt, inferior education and illegal immigration.;nan;6
POEMS TO LEARN BY HEART;2013-04-14;Caroline Kennedy;A collection covering the range of human experience and imagination.;19.99;12
POET EXTRAORDINAIRE!;2010-03-21;Jane O’Connor;Fancy Nancy’s fancy turns to rhyme.;12.99;9
POGO, VOL. 2;2012-12-30;Walt Kelly;This collected edition includes newspaper strips from 1951 and 1952, including two years of color Sunday strips.;39.99;1
POGO, VOL. 3;2014-11-16;Walt Kelly;This edition includes newspaper strips from 1953 and 1954, including two years of color Sunday strips.;nan;1
POINT BLANK;2016-01-17;Fern Michaels;The Sisterhood heads to Asia to locate a missing daughter.;nan;2
POKEMON ADVENTURES BLACK AND WHITE, VOL. 1;2013-07-21;Hidenori Kusaka;Introducing Pokemon trainers White, who assists would-be performers, and Black, who sets off to explore the Unova region on a mission for Professor Juniper.;nan;1
POKEMON ADVENTURES, DIAMOND AND PEARL/PLATINUM, VOL. 8;2014-06-22;Hidenori Kusaka;Can Lady, Pearl and Diamond release the three legendary Pokemon in time to make a difference?;nan;2
POKEMON ADVENTURES, HEARTGOLD & SOULSILVER, VOL. 1;2013-08-25;Hidenori Kusaka;"From the publisher: ""Troublemaker Gold and feisty Silver must team up again to find their old enemy Lance and the Legendary Pokémon Arceus.""";nan;2
POKEMON ADVENTURES, VOL. 15;2013-03-24;Hidenori Kusaka and Satoshi Yamamoto;This volume chronicles an 80-day challenge with Ruby and Sapphire vying for ultimate bragging rights.;9.99;1
POKEMON ADVENTURES, VOL. 16;2013-05-26;Hidenori Kusaka;Ruby and Sapphire take center stage in this adventure based on the video game series.;nan;1
POKEMON ADVENTURES, VOL. 17;2013-07-21;Hidenori Kusaka and Satoshi Yamamoto;"From the publisher: ""On an accidental seafaring adventure in a submarine, Ruby discovers something mysterious deep beneath the waves. Then fishing nets him another Pokemon.""";nan;1
POKEMON ADVENTURES, VOL. 22;2014-05-25;Hidenori Kusaka;"From the publisher: ""When tragedy strikes, long hidden secrets are revealed, and Ruby comes to a profound realization.""";nan;1
POKEMON ADVENTURES, VOL. 23;2014-07-27;Hidenori Kusaka and Satoshi Yamamoto;Green is sucked into a vortex and only a former enemy can help her escape.;nan;2
POKEMON ADVENTURES, VOL. 24;2014-09-21;Hidenori Kusaka and Satoshi Yamamoto;Red’s confidence takes a hit after his latest defeat, but Blue and Green, along with an unexpected ally, come to his aid.;nan;1
POKEMON ADVENTURES: DIAMOND AND PEARL/PLATINUM, VOL. 3;2011-10-23;Hidenori Kusaka;This Pokemon adventure starts out with a case of mistaken identity.;7.99;1
POKEMON ADVENTURES: DIAMOND AND PEARL/PLATINUM, VOL. 6;2012-10-21;Hidenori Kusaka;This Pokemon adventure starts out with a case of mistaken identity.;7.99;2
POKEMON BLACK AND WHITE, VOL. 10;2013-06-23;Hidenori Kusaka;This volume introduces Pokemon trainers Black, who embarks on a journey of discovery, and White, who hopes to make her trainee a star.;nan;2
POKEMON BLACK AND WHITE, VOL. 4;2011-11-27;Hidenori Kusaka;The Pokemon saga continues with the introduction of two new trainers: Black and White.;4.99;2
POKEMON BLACK AND WHITE, VOL. 5;2012-03-11;Hidenori Kusaka;The Pokemon saga continues with the introduction of two new trainers: Black and White.;4.99;1
POKEMON BLACK AND WHITE, VOL. 6;2012-04-15;Hidenori Kusaka;The Pokemon saga continues with the introduction of two new trainers: Black and White.;4.99;2
POKEMON BLACK AND WHITE, VOL. 7;2012-05-20;Hidenori Kusaka;The Pokemon saga continues with the introduction of two new trainers: Black and White.;4.99;3
POKEMON: ESSENTIAL HANDBOOK;2014-10-05;Cris Silvestri and the staff of Scholastic;Statistics and facts on 640 characters.;nan;0
POKÉMON ADVENTURES, VOL. 21;2014-03-23;Hidenori Kusaka and Satoshi Yamamoto;Ruby and Sapphire take center stage in this adventure based on the video game series.;nan;1
POLISH YOUR POISE WITH MADAME CHIC;2015-11-01;Jennifer L Scott;The quiet power of poise | a guide to behaving with dignity, kindness, grace and thoughtful manners with neighbors, strangers and colleagues and in all situations.;nan;0
POOR LITTLE BITCH GIRL;2010-03-07;Jackie Collins;Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner.;26.99;2
POORLY DRAWN LINES;2015-10-25;Reza Farazmand;This collection of the web comic features a mix of old and new material, original essays and misbehaving cats in space.;nan;1
POPTROPICA BOOK 1: MYSTERY OF THE MAP;2016-04-10;Jack Chabert and Kory Merritt;Three kids take a ride on a hot air balloon that crashes on an uncharted island filled with animals previously thought to be extinct.;nan;3
POPULARMMOS PRESENTS A HOLE NEW WORLD;2018-07-08;Pat and Jen from PopularMMOs;Pat and Jen search for their friend Bomby in a dangerous underworld filled with zombies.;nan;10
POPULARMMOS PRESENTS ENTER THE MINE;2019-06-23;Pat and Jen from PopularMMOs;Pat and Jen face a villain while trapped in an ore mine.;nan;10
PORCH LIGHTS;2012-07-01;Dorothea Benton Frank;When the widow of a New York City firefighter returns to her Lowcountry South Carolina home, she connects with her mother and the widower next door.;25.99;1
PORT MORTUARY;2010-12-19;Patricia Cornwell;In the 18th Kay Scarpetta novel, the forensic pathologist masters a sophisticated new autopsy technology at an Air Force base | meanwhile, a young man’s mysterious death causes trouble at her new forensic center in Cambridge, Mass.;27.95;4
PORTRAIT OF A SPY;2011-08-07;Daniel Silva;To stop a network of death, an international operative must reach into his violent past.;26.99;2
PORTRAITS OF COURAGE;2017-03-19;George W Bush;Sixty-six color paintings and a four-panel mural, accompanied by brief biographies, show members of the military who have served since 9/11. By the former president.;nan;4
POSEIDON'S ARROW;2012-11-25;Clive Cussler and Dirk Cussler;The developer of a powerful submarine has been killed and his plans stolen, and the NUMA director Dirk Pitt and his team go on a desperate international chase to stop the perpetrators.;28.95;4
POSITIVE INTELLIGENCE;2012-04-22;Shirzad Chamine;The author identifies internal foes that stand in the way of true potential.;23.95;1
POSSESSION;2016-10-16;Helen Hardt;To further his relationship with Jade, Talon must close a dark chapter from his past.;nan;1
POTTYMOUTH AND STOOPID;2017-07-02;James Patterson and Chris Grabenstein;Two middle schoolers try to thwart bullies with humor.;nan;2
POWER FORWARD;2015-03-01;Reggie Love;nan;nan;0
POWER GAME;2017-02-12;Christine Feehan;A supersoldier with enhanced abilities teams up with a genetically engineered spy in this GhostWalker novel.;nan;1
POWER OF CONSISTENCY;2013-04-14;Weldon Long;Prosperity mind-set training for sales and business professionals.;24.95;1
POWER PLAY;2014-03-30;Danielle Steel;Two C.E.O.s — one a man, the other a woman — face very different challenges.;nan;4
POWER THOUGHTS;2010-10-03;Joyce Meyer;A Bible teacher’s strategies for overcoming negative thinking.;21.99;6
POWERHOUSE;2016-09-04;James Andrew Miller;nan;nan;0
PRACTICE TO DECEIVE;2013-10-27;Ann Rule;Sex, greed and scandal motivate a murder on Washington State’s Whidbey Island.;nan;1
PRAGUE WINTER;2012-05-13;Madeleine Albright with Bill Woodward;The former secretary of state remembers life in Czechoslovakia. ;29.99;3
PRAYER;2014-12-07;Timothy Keller;Guidance for establishing a personal relationship with God.;nan;0
PREACHER: BOOK ONE;2016-06-12;Garth Ennis and Steve Dillon;A small–town preacher in Texas embarks on a spiritual quest after he merges with an entity that grants him the power to command others.;nan;4
PRECIOUS GIFTS;2016-07-17;Danielle Steel;When a wealthy, charming man who has been an absent father dies, he leaves bequests tailored to help his three daughters and troubled son achieve their dreams, and a special gift for his former wife.;nan;4
PREPARE FOR ANYTHING (Outdoor Life);2014-12-07;Tim MacWelch;"For armchair readers or leery tourists, a compilation of ""338 essential skills"" for surviving nearly every conceivable unfamiliar adversity and environment.";nan;0
PRESCRIPTION FOR EXCELLENCE;2011-06-12;Joseph A Michelli;Lessons for the health care field from the U.C.L.A. Health System.;28.0;1
PRESENCE;2016-01-10;Amy Cuddy;nan;nan;7
PRESENT OVER PERFECT;2016-08-28;Shauna Niequist;nan;nan;3
PRESIDENTS OF WAR;2018-10-28;Michael Beschloss;How American presidents waged wars and expanded the power of the executive branch.;nan;1
PRESS HERE;2011-06-26;Hervé Tullet;A whimsical dance of color and motion, at the touch of a finger.;15.99;254
PRESTO!;2016-09-04;Penn Jillette;"The magician's story of how he lost 100 pounds on a ""potato diet"" includes his trademark humor and social commentary.";nan;0
PRETTY DEADLY, VOL. 1;2014-06-08;Kelly Sue DeConnick and Emma Rios;The Old West is mixed with elements of mythology, fantasy and folklore in this series which follows Ginny, the daughter of Death.;nan;2
PRETTY GIRLS;2015-10-18;Karin Slaughter;When her husband is murdered, a wealthy Atlanta woman discovers shocking secrets about him that lead her to reconnect with her estranged sister | together they investigate the long-ago disappearance of a third sister.;nan;5
PRETTY HAPPY;2016-03-06;Kate Hudson;nan;nan;1
PRETTY LITTLE LIARS;2010-02-07;Sara Shepard;Four girls less perfect than they seem.;nan;63
PREVENT AND REVERSE HEART DISEASE;2011-12-11;Caldwell B Esselstyn Jr;An argument that a plant-based diet is the key to heart health.;17.0;7
PREY;2011-09-25;Linda Howard;Confronted by danger in the wild, a woman who owns a guide business and her male competitor must join forces to survive.;26.0;1
PRIDE AND PREJUDICE;2010-01-03;Nancy Butler and Hugo Petrus;Jane Austen’s classic tale gets the graphic novel treatment.;19.99;9
PRIDE AND PREJUDICE AND ZOMBIES;2010-05-23;Jane Austen and Seth Grahame-Smith;"In polite society, the undead are called ""unmentionables"" or ""dreadfuls."" Will they be able to come between Elizabeth Bennet and Mr. Darcy?";14.99;4
PRIMATES;2013-07-07;Jim Ottaviani and Maris Wicks;Learn all about Jane Goodall, Dian Fossey and Biruté Galdikas, three primatologists who were all students of Louis Leakey.;nan;10
PRIMATES OF PARK AVENUE;2015-06-21;Wednesday Martin;A memoir of life among the wealthy women of the Upper East Side, in the satirical guise of an anthropological study.;nan;2
PRIME TIME;2011-08-28;Jane Fonda;The actress and workout pioneer offers suggestions on exercise, diet, meditation and “successful aging.”;27.0;4
PRINCE LESTAT;2014-11-16;Anne Rice;The Vampire Chronicles continue after a long hiatus with the reappearance of Lestat de Lioncourt.;nan;2
PRINCE VALIANT, VOL. 10;2015-02-22;Hal Foster;This volume reprints the installments of the newspaper comic strip that ran from 1955 to 1956 and finds Val in search of new ways to feed Thule’s growing populace.;nan;2
PRINCE VALIANT, VOL. 4;2011-10-23;Hal Foster;"This volume reprints the installments of the newspaper comic strip that ran from 1943 to 1944. It contains a seven-month long storyline, ""The Long Voyage to Thule.""";29.99;1
PRINCE VALIANT, VOL. 8;2014-02-23;Hal Foster;This volume reprints the installments of the newspaper comic strip that ran from 1951 to 1952 and contains the conclusion to the fifteen–month long Roman epic “The Missionaries.”;nan;1
PRINCESS;2013-09-01;Jean Sasson;Life as lived by a member of the royal family and other women in Saudi Arabia. Originally published in 1993.;nan;1
PRINCESS IN BLACK;2017-05-07;Shannon Hale and Dean Hale;Magnolia summons her superhero secret identity when the kingdom needs her help.;nan;8
PRINCESS JELLYFISH, VOL. 1;2016-04-17;Akiko Higashimura;A young woman living in an all–female apartment building secretly becomes roommates with a cross–dressing man.;nan;1
PRINCESS JELLYFISH, VOL. 2;2016-07-17;Akiko Higashimura;Tsukimi continues to hide the fact that the new roommate in her all–female apartment building is actually a cross–dressing man.;nan;1
PRINCESS KNIGHT, VOL. 2;2012-01-01;Osamu Tezuka;A young princess named Sapphire must pretend to be male in order to inherit the throne. By the godfather of manga.;13.95;1
PRINCESSES SAVE THE WORLD;2018-10-07;Savannah Guthrie and Allison Oppenheim;"In this sequel to ""Princesses Wear Pants,"" the princesses unite to find the missing bees.";nan;2
PRINCESSES WEAR PANTS;2017-10-01;Savannah Guthrie and Allison Oppenheim;Princess Penelope Pineapple prefers pants over dresses.;nan;10
PRINCIPLES;2017-10-01;Ray Dalio;nan;nan;21
PRISON SCHOOL, VOL. 4;2016-08-14;Akira Hiramoto;Hijinks ensue when five boys enroll in an all–female boarding school.;nan;1
PRISONER OF NIGHT;2019-01-27;JR Ward;The latest book in the Black Dagger Brotherhood series. Ahmare tries to save her brother while Duran finds temporary freedom.;nan;1
PRISONERS IN THE PALACE;2016-10-23;Michaela MacColl;nan;nan;1
PRIVATE BERLIN;2013-02-10;James Patterson and Mark Sullivan;Chris Schneider, a top agent at the German headquarters of an investigation firm, disappears, and Mattie Engel, another agent and Chris's former lover, is determined to find him. ;27.99;3
PRIVATE DOWN UNDER;2014-09-14;James Patterson and Michael White;The world’s most exclusive detective agency has opened an office in Australia, and within days Craig Gisto and his new team have their hands full with a series of grisly crimes.;nan;1
PRIVATE GAMES;2012-03-04;James Patterson and Mark Sullivan;A journalist and a member of the Private investigative firm pursue a murderer who is trying to destroy the London Olympics.;27.99;5
PRIVATE L.A.;2014-03-02;James Patterson and Mark Sullivan;Jack Morgan and Justine Smith search for a high-powered celebrity couple who have disappeared.;nan;4
PRIVATE LONDON;2012-12-23;James Patterson and Mark Pearson;The former Royal Military Police sergeant Dan Carter and his ex-wife, Kirsty Webb, look into why young women are being abducted in London.;14.99;3
PRIVATE PARIS;2016-04-03;James Patterson and Mark Sullivan;Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite.;nan;3
PRIVATE VEGAS;2015-02-15;James Patterson and Maxine Paetro;Jack Morgan, the head of an investigative firm, uncovers a murder ring in Las Vegas.;nan;4
PRIVATE: #1 SUSPECT;2010-07-18;James Patterson and Maxine Paetro;The head of an investigation company pursues the murderer of his best friend’s wife.;27.99;6
PRODIGAL SON;2015-03-15;Danielle Steel;Twins, one good and one bad, reunite after 20 years when one of them returns to their hometown. But it is no longer clear who the good and who the bad one is.;nan;5
PRODIGY;2013-02-17;Marie Lu;Day and June are caught up in an assassination plot. The second book of the Legend series.;nan;1
PROMISE ME, DAD;2017-12-03;Joe Biden;The former vice president recalls his toughest year in office, as his son battled brain cancer.;nan;11
PROOF OF HEAVEN;2012-11-11;Eben Alexander;A neurosurgeon recounts his near death experience during a coma from bacterial meningitis.;15.99;83
PROPERTY OF A NOBLEWOMAN;2016-04-03;Danielle Steel;Two New Yorkers searching for the owner of an abandoned safe-deposit box reconstruct the history of a young woman and a forbidden love affair at the time of World War II.;nan;4
PROPHET, VOL. 2;2013-07-28;Brandon Graham and Simon Roy;"From the publisher: ""The distant future war continues, Old man Prophet is awake now and searching across the universe for old allies that have survived the centuries since the last war.""";nan;1
PROSPER;2011-10-23;Ethan Willis and Randy Garn;Creating a personal plan for prosperity.;15.95;1
PSYCHOLOGY OF WEALTH;2012-02-05;Charles Richards;A clinical psychologist sees determining our relationship with money as an important step to financial success.;26.0;2
PUBLIC SCHOOL SUPERHERO;2015-04-05;James Patterson and Chris Tebbetts;Kenny and his superhero friend fight to help their big-city school.;nan;4
PUELLA MAGI MADOKA MAGICA, VOL. 1;2012-06-17;Magica Quartet;Are the magical dreams of Madoka Kaname suddenly becoming a reality?;11.99;1
PUELLA MAGI MADOKA MAGICA, VOL. 2;2012-09-09;Magica Quartet Staff;Are the magical dreams of Madoka Kaname suddenly becoming a reality?;11.99;2
PUELLA MAGI MADOKA MAGICA, VOL. 3;2012-12-30;Magica Quartet;Are the magical dreams of Madoka Kaname suddenly becoming a reality?;11.99;4
PULSE;2013-08-04;Gail McHugh;"In a sequel to ""Collide,"" Emily Cooper, having lost her mother and left her caring boyfriend, risks everything on her romance with the playboy Gavin Blake.";nan;2
PUNK ROCK JESUS;2013-04-28;Sean Murphy;"From the publisher: ""A reality TV show starring a clone of Jesus Christ causes chaos across the U.S. of the near future.""";16.99;1
PURE JOY;2013-11-17;Danielle Steel;An appreciation of the dogs in Steel's life.;nan;1
PURITY;2015-09-20;Jonathan Franzen;A debt-crushed woman named Pip becomes involved with a WikiLeaks-style organization.;nan;1
PURSUED;2013-02-24;Jud Wilhite;A view of faith centered on the story of Hosea.;21.99;1
PURSUIT OF HONOR;2010-09-19;Vince Flynn;The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.;9.99;1
PUSH;2010-01-03;Sapphire;"An abused, illiterate 16-year-old in Harlem meets a teacher who helps change her life | the basis for the film ""Precious.""";12.95;22
PUT YOUR MINDSET TO WORK;2011-06-19;James Reed and Paul G Stoltz;Insights about the mental traits employers really want from the people they hire and keep.;17.0;1
QUEEN BEE;2019-06-16;Dorothea Benton Frank;A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.;nan;2
QUEST;2011-10-09;Daniel Yergin;How the need for energy — especially, but not only, oil — drives global political and economic change.;37.95;1
QUICK & DIRTY;2017-11-12;Stuart Woods;The New York lawyer Stone Barrington is hired to recover a stolen Van Gogh painting.;nan;1
QUIET;2012-02-12;Susan Cain;Introverts — approximately one-third of the population — are undervalued in American society.;26.0;146
QUIET POWER;2016-05-22;Susan Cain with Gregory Mone and Erica Moroz;A guidebook points to the often hidden strengths and talents of introverts.;nan;1
QUINN;2011-07-31;Iris Johansen;A former Navy Seals member turned cop falls in love with a woman in need of his help and finds himself in the cross hairs of danger.;27.99;2
RACHAEL RAY 50;2019-11-03;Rachael Ray;nan;nan;1
RACHAEL RAY'S BOOK OF 10;2010-01-10;Rachael Ray;Ray''s top 10 recipes in a variety of categories, for everyday cooking.;20.0;8
RACHAEL RAY'S LOOK AND COOK;2010-11-21;Rachael Ray;A collection of recipes from the Food Network star, with numerous photographs to assist in preparation.;24.99;8
RACING TO THE FINISH;2018-11-04;Dale Earnhardt Jr with Ryan McGee;nan;nan;0
RAD AMERICAN WOMEN A-Z;2015-05-17;Kate Schatz;History-shaping rebels, trailblazers and visionaries.;nan;2
RADIANCE;2010-09-19;Alyson Noël;Adventures in the afterlife, where the time is always Now.;7.99;5
RADIANT ANGEL;2015-06-14;Nelson DeMille;A surveillance expert monitors the activities of a newly resurgent Russia.;nan;3
RADIANT CHILD;2017-03-19;Javaka Steptoe;A young artist named Jean-Michel Basquiat grows in Brooklyn. The 2017 Caldecott Medal winner.;nan;1
RADICAL;2010-08-15;David Platt;A pastor challenges Christians to consider how closely their lives match the teachings of Jesus.;14.99;58
RADICAL CANDOR;2018-05-06;Kim Scott;nan;nan;0
RADICALS, RESISTANCE AND REVENGE;2019-09-15;Jeanine Pirro;The Fox News host posits those she labels anti-Trump conspirators have committed possible crimes and a plot to destroy liberty.;nan;2
RAISE YOUR HAND;2019-04-14;Alice Paul Tapper;Alice comes up with a way to boost girls' confidence in school.;nan;1
RAISING STEAM;2014-04-06;Terry Pratchett;In this Discworld fantasy set in Ankh-Morpork, Moist van Lipwig is put in charge of a powerful new machine. ;nan;1
RAISING THE BAR;2013-05-19;Gabrielle Douglas;Photographs and facts about an Olympic gold medalist.;nan;1
RANDOM ACTS;2016-08-28;J A Jance;An investigator offers help to Sheriff Joanna Brady when her mother and stepfather's R.V. is run off the road.;nan;1
RANGE;2019-07-07;David Epstein;nan;nan;0
RANGER’S APPRENTICE;2010-01-24;John Flanagan;A boy warrior battles evil.;nan;81
RAQUEL;2010-04-18;Raquel Welch;A book full of practical advice for women of all ages, from the film star.;26.95;1
RASETSU, VOL. 6;2010-09-26;Chika Shiomi;Life at an exorcist agency: Rasetsu is avoiding a spirit scheduled to claim her when she turns 20, while her co-worker, Yako Hoshino, finds that Rasetsu looks strikingly similar to his old flame Yurara, who may be connected to some current turmoils.;9.99;1
RASL;2013-10-13;Jeff Smith;Originally printed in black and white, this series, which follows a trans-dimensional thief, gets the color treatment.;nan;2
RAT QUEENS, VOL. 1;2014-07-27;Kurtis J Wiebe and Roc Upchurch;Hannah, Violet, Dee and Betty are the Rat Queens, a group of bar-brawling, dragon-slaying maidens-for-hire, but when their latest shenanigans land them in jail, they will have to complete a dangerous quest to earn their release.;nan;1
RAT QUEENS, VOL. 2;2015-05-31;Kurtis J Wiebe and Roc Upchurch;The Rat Queens are a group of bar-brawling, dragon-slaying maidens-for-hire. In this volume: menaces new and forgotten plague the women.;nan;2
RAT'S WARS;2013-10-20;Stephan Pastis;"This treasury of the popular ""Pearls Before Swine"" newspaper strip collects apparently contains no stories about ""Star Wars"" despite the cover image.";nan;1
RAVEN GIRL;2013-05-26;Audrey Niffenegger;The daughter of a postman and a raven (!) feels trapped in her human body and longs to fly.;nan;1
